uniqueid,Start time,Completion time,My sleep is affected by my study commitments,I achieve good quality sleep,My electronic device usage negatively affects my sleep,Tiredness interferes with my concentration,"My sleep is disturbed by external factors e.g. loud cars, housemates, lights, children...",I often achieve eight hours of sleep,I regularly stay up past 11pm
426a13a83d,2020-11-27T11:12:48Z,2020-11-27T11:14:03Z,Somewhat agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Disagree
c12f3f6d8e,2020-11-27T14:18:37Z,2020-11-27T14:19:38Z,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Agree,Somewhat agree
259a551661,2020-11-27T11:15:12Z,2020-11-27T11:16:08Z,Somewhat disagree,Agree,Somewhat agree,Strongly agree,Disagree,Agree,Strongly agree
a11c1edbff,2020-11-27T11:10:55Z,2020-11-27T11:12:33Z,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Disagree,Disagree,Strongly agree
5cf5ec229c,2020-11-27T09:12:57Z,2020-11-27T09:13:41Z,Agree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree
75019cc3d6,2020-11-27T11:18:28Z,2020-11-27T11:20:57Z,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Strongly agree
bd8c05d34d,2020-11-26T08:14:43Z,2020-11-26T08:15:30Z,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Agree
cfd173037f,2020-11-27T09:12:55Z,2020-11-27T09:13:26Z,Somewhat agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Somewhat agree
2a055735c4,2020-11-27T11:17:14Z,2020-11-27T11:19:11Z,Strongly agree,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree
11813b71d3,2020-11-27T14:12:29Z,2020-11-27T14:13:01Z,Agree,Somewhat agree,Disagree,Agree,Strongly agree,Somewhat agree,Agree
120b3beeaf,2020-11-27T11:14:14Z,2020-11-27T11:15:09Z,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Agree
301417186c,2020-11-26T09:14:23Z,2020-11-26T09:15:30Z,Disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Agree,Agree
e374dcb5c5,2020-11-27T11:12:02Z,2020-11-27T11:13:20Z,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree
e21ac9f5a5,2020-11-27T11:14:42Z,2020-11-27T11:15:22Z,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Agree
0e28c3c4be,2020-11-26T09:17:04Z,2020-11-26T09:18:54Z,Agree,Agree,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree
d118347494,2020-11-27T09:03:36Z,2020-11-27T09:04:51Z,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Strongly disagree
976f556a93,2020-11-27T11:10:39Z,2020-11-27T11:12:07Z,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Agree
e61864df16,2020-11-26T14:47:14Z,2020-11-26T14:48:06Z,Disagree,Disagree,Somewhat agree,Agree,Agree,Strongly disagree,Strongly agree
6ee3759e4d,2020-11-27T10:39:24Z,2020-11-27T11:14:29Z,Strongly agree,Disagree,Somewhat agree,Strongly agree,Agree,Somewhat disagree,Agree
a0b72f8c48,2020-11-26T11:17:49Z,2020-11-26T11:19:01Z,Agree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree
2b1d98277d,2020-11-26T14:33:53Z,2020-11-26T14:35:45Z,Strongly agree,Disagree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Agree
cf21bcf3bd,2020-11-26T14:15:59Z,2020-11-26T14:19:41Z,Neither agree nor disagree,Agree,Somewhat disagree,Agree,Somewhat disagree,Agree,Somewhat disagree
736f0e7b95,2020-11-27T14:13:43Z,2020-11-27T14:16:14Z,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree
f85f74800d,2020-11-26T11:22:04Z,2020-11-26T11:22:47Z,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree
